	seq_id	image_id	image_path	image_cat	image_subcat	d1	d2	d3	d4	d5
123	123	15539	training/p/poolroom/home/ADE_train_00015539.jpg	poolroom	home	It's a somewhat long rectangle in the middle of the room.	It has legs.	It's green in the center always.	It has wooden legs.	There's lamps above it.
124	124	3530	training/b/bedroom/ADE_train_00003530.jpg	bedroom		There is a giant green plants behind the bed.	There is a table next to the bed with a lamp.	There is a wooden dresser to the right of the bed.	There is a framed picture behind the dresser.	There is a house plants to the bottom right of the dresser.
125	125	236	training/b/bedroom/ADE_train_00000236.jpg	bedroom		bed	lights above the bed	basket on the table	plates on the shelf	pink room
126	126	2834	training/b/bathroom/ADE_train_00002834.jpg	bathroom		You are looking at a bathroom. In the far left corner there is an open shower stall with a corner seat.	There is also a bathtub next to the shower which has open shelving underneath it and a partially open window over it.	There is a toilet situated to the left of the tub faucet.	There is a towel rack over the tub (faucet end).	Next to the shower stall there is a sink with dark wood cabinets underneath it.
127	127	802	training/l/living_room/ADE_train_00000802.jpg	living_room		a large white room	there are 3 sets of windows and a glass door	there are 2 white couches	there is a light colored wooden floor	a wooden dining set is behind the closest sofa
128	128	865	training/l/living_room/ADE_train_00000865.jpg	living_room		This is a room with wall to floor windows	There are two lamps here	There is a stripy armchair to the left	There is a red and black rug on the floor	There are two green plants
129	129	11358	training/l/living_room/ADE_train_00011358.jpg	living_room		A large livingroom with a fireplace	There are 3 big windows and a door in the corner	it has wood beamed ceilings and a cherry wood floor	there a 2 white upholstered chairs	and a glass and wood table between the sofa and fireplace
130	130	180	training/b/bathroom/ADE_train_00000180.jpg	bathroom		Small bathroom with a shower.	The wall is green.	There are 2 towel bars on the wall.	There is a toilet in the corner	The floor looks like tan tile.
131	131	151	training/b/bathroom/ADE_train_00000151.jpg	bathroom		There is a toilet and another empty area beside it.	The tile is different shades of brown.	There is a rectangular window above the toilet.	There is a part of a dryer in the picture.	There is a vanity with really dark wood and a marble top.
132	132	5513	training/c/childs_room/ADE_train_00005513.jpg	childs_room		This is a boys bedroom with a teddy bear on the bed.	The bed has a plad blue bed spread.	The head board and side table are painted blue.	There is a poster on the wall.	A lamp is situated over the bed to read with.
133	133	15550	training/p/poolroom/home/ADE_train_00015550.jpg	poolroom	home	This is a billiards room.	There is a pool table with a green felt on it.	There are balls racked on the table.	There is a jersey in a frame on the wall.	There are brown wood double doors to the right side of the picture.
134	134	10310	training/k/kitchen/ADE_train_00010310.jpg	kitchen		There is a kitchen with three wooden chairs at a counter.	There are three plates on burgundy mats at the counter.	There are tan wooden cabines in the kitchen.	There are pink flowers on the counter.	There are windows in the background.
135	135	9639	training/h/hotel_room/ADE_train_00009639.jpg	hotel_room		this room looks like it could be a hotel room	the bed has a flowery cover on it	there is a small round table with 2 chairs beside it	In the middle of the small round table there is a lamp	Right beside the table and chairs is a door
136	136	209	training/b/bedroom/ADE_train_00000209.jpg	bedroom		People sleep here.	The curtains and bedspread are purple.	The furniture and floor are medium to light wood.	There is a large mirror over the dresser, and a chest of drawers by the window.	There are several plants.
137	137	7153	training/d/dining_room/ADE_train_00007153.jpg	dining_room		People eat meals here.	The furniture is modern; it is black metal and glass.	The walls are tan with white chair rails and trim.	The floor is light wood.	The blinds are open and the light is on.
138	138	8496	training/g/garage/indoor/ADE_train_00008496.jpg	garage	indoor	There is a blue car on the right	There is a red wheelbarrow on the left	There are wooden rafters	There is a rectangular window	There is a white floor
139	139	14995	training/p/pantry/ADE_train_00014995.jpg	pantry		This is a pantry that is stocked full.	It is showing 3 rows of 5 shelves.	The middle shelf holds 4 rectangular containers full of food.	The top middle shelf is holding only canned goods.	The wood it is built with is painted white.
140	140	10535	training/k/kitchen/ADE_train_00010535.jpg	kitchen		People cook food here.	The cabinets are light oak.	The counter is tan.	The appliances are black.	There is a blender on the counter.
141	141	101099	validation/b/bathroom/ADE_val_00001099.jpg	bathroom		This bathroom is very cream and looks like the toilet is part of a cabinet.	The sink juts out.	There is a plant on the right side.	There is a towel hanging off of the sink.	There is a small picture in the corner of the cabinets.
142	142	6997	training/d/dining_room/ADE_train_00006997.jpg	dining_room		There is a dining room and a living room.	The dining table has a brown table cloth.	There is a chandelier above the dining table.	There is a red table runner on the dining table.	There is a white couch and brown chair in the living room.
143	143	8421	training/g/game_room/ADE_train_00008421.jpg	game_room		There are several games.	There is a pool table and a poker table.	There is a television on the wall.	It is surrounded with chairs.	The ceiling is fancy.
144	144	11422	training/l/living_room/ADE_train_00011422.jpg	living_room		There is a large wooden pillar.	There is a wall of stone with a fireplace.	The furniture is a worn brown leather.	The rug has a floral design.	There are two hanging lights and a floor lamp.
145	145	16824	training/s/staircase/ADE_train_00016824.jpg	staircase		A carpeted staircase with a wooden bannister.	There is a potted plant next to the staircase.	The flooring in front of the staircase is a wood floor.	The carpet in the staircase is tan in color.	The wall color of the room is white.
146	146	6964	training/d/dining_room/ADE_train_00006964.jpg	dining_room		The background is dark.	There is a wooden table surrounded by chairs.	The chairs are black with metals legs.	There are six chairs at the table	There are shadows on the ground from the table.
147	147	8428	training/g/game_room/ADE_train_00008428.jpg	game_room		It is a game room in a loft with a pool table, tv on front wall, long dresser, and red chair.	The pool table has dark brown legs and sides, the top is dark red felt, and the balls are in the triangle on the table.	The pool sticks are against the wall standing up with a railing  next to them showing that we're seeing a loft.	The tv is on the front wall with a show on with people around a table with a yellow tablecloth.	Below the tv is a dark wood dresser that spans a good portion of the wall and we can see part of a burgundy chair in the front right corner.
148	148	2894	training/b/bathroom/ADE_train_00002894.jpg	bathroom		There is a bathroom with white tile walls.	There is a small toilet on the wall.	There is a white sink.	There is a towel holder and white towels on the rack.	There are more towels on the floor.
149	149	7366	training/d/dorm_room/ADE_train_00007366.jpg	dorm_room		There is a room with 2 window.	There is a small bed with pillows and a blue patterned blanket.	There is a desk with books on it in the left of the room.	There are illustrations above the desk.	There are plants in the window sill.
150	150	699	training/l/living_room/ADE_train_00000699.jpg	living_room		There is a living room with window and a front door.	There is a fire place surrounded by a brick mantel.	There is a square patterned rug on the floor.	There is a sign that says 'pray' above the fire place.	There is a mirror above the fire place.
